1 AUD,2.75608,2025-02-03
1 AUD,2.75507,2025-01-27
1 AUD,2.79234,2025-01-20
1 AUD,2.7776,2025-01-13
1 CNY,0.620386,2025-02-03
1 CNY,0.603483,2025-01-27
1 CNY,0.615216,2025-01-20
1 CNY,0.615291,2025-01-13
1 EUR,4.60773,2025-02-03
1 EUR,4.58205,2025-01-27
1 EUR,4.63187,2025-01-20
1 EUR,4.61992,2025-01-13
1 GBP,5.53267,2025-02-03
1 GBP,5.45196,2025-01-27
1 GBP,5.4868,2025-01-20
1 GBP,5.49905,2025-01-13
1 SGD,3.2871,2025-02-03
1 SGD,3.24818,2025-01-27
1 SGD,3.29437,2025-01-20
1 SGD,3.28932,2025-01-13
1 USD,4.49832,2025-02-03
1 USD,4.37859,2025-01-27
1 USD,4.50481,2025-01-20
1 USD,4.51065,2025-01-13
10 THB,1.32172,2025-02-03
10 THB,1.30038,2025-01-27
10 THB,1.30697,2025-01-20
10 THB,1.29802,2025-01-13
10 TWD,1.36212,2025-02-03
10 TWD,1.33547,2025-01-27
10 TWD,1.36913,2025-01-20
10 TWD,1.36454,2025-01-13
100 JPY,2.88918,2025-02-03
100 JPY,2.81466,2025-01-27
100 JPY,2.88603,2025-01-20
100 JPY,2.86669,2025-01-13
1000 KRW,3.05813,2025-02-03
1000 KRW,3.06272,2025-01-27
1000 KRW,3.08979,2025-01-20
1000 KRW,3.06311,2025-01-13
